0	1	date	formato
-99.0453513	19.3912001	2005-06-02	TIENDA COPPEL
-98.8737633	19.3238579	2004-11-01	TIENDA COPPEL
-99.1804959	19.6142161	2005-04-28	TIENDA COPPEL
-98.2919295	19.0755241	2004-12-01	TIENDA COPPEL
-99.3037471	19.3488566	2004-12-01	TIENDA COPPEL
-98.97915	19.3543937	2004-11-01	TIENDA COPPEL
-98.928178	19.409945	2004-12-01	TIENDA COPPEL
-98.4211841	19.2907752	2004-11-01	TIENDA COPPEL
-101.1799165	20.3930842	2005-05-05	TIENDA COPPEL
-99.1029664	19.2572314	2005-03-17	TIENDA COPPEL
-98.0983592	25.9842637	2005-04-14	TIENDA COPPEL
-106.3997743	31.6123758	2005-03-17	TIENDA COPPEL
-99.0354064	19.6273979	2005-06-09	TIENDA COPPEL
-99.8439856	16.9089634	2005-05-05	TIENDA COPPEL
-101.377859	20.6654901	2005-04-14	TIENDA COPPEL
-92.2658267	14.9042498	2005-09-01	TIENDA COPPEL
-103.4323929	20.6166871	2005-02-24	TIENDA COPPEL
-115.5133331	32.6351149	2005-03-17	TIENDA COPPEL
-99.3320925	20.0585852	2005-08-11	TIENDA COPPEL
-86.8233332	21.1684569	2005-08-11	TIENDA COPPEL
-86.8258276	21.1629199	2005-12-03	TIENDA COPPEL
-86.8529766	21.1842872	2005-08-11	TIENDA COPPEL
-105.2209561	20.6485489	2005-07-14	TIENDA COPPEL
-102.7473529	20.8295567	2005-08-25	TIENDA COPPEL
-100.2541842	25.586932	2005-09-29	TIENDA COPPEL
-100.454741	25.6870877	2005-10-13	TIENDA COPPEL
-93.3652596	17.979027	2005-07-14	TIENDA COPPEL
-99.9995756	25.5968609	2005-09-22	TIENDA COPPEL
-92.9572816	17.9707842	2006-02-01	TIENDA COPPEL
-101.6282113	21.1234801	2005-07-28	TIENDA COPPEL
-99.9672026	20.3826774	2005-10-06	TIENDA COPPEL
-98.9998032	21.9668597	2005-07-28	TIENDA COPPEL
-110.9421624	31.2984917	2005-06-09	TIENDA COPPEL
-97.4708484	20.5351022	2005-10-13	TIENDA COPPEL
-100.5251731	28.7067612	2005-12-02	TIENDA COPPEL
-99.1557157	23.7533236	2005-09-15	TIENDA COPPEL
-89.5925857	20.9673702	2005-10-20	TIENDA COPPEL
-99.5631861	24.8641562	2005-04-28	TIENDA COPPEL
-96.9215912	19.5328844	2005-12-13	TIENDA COPPEL
-92.9238378	17.9979116	2005-10-06	TIENDA COPPEL
-99.9856344	21.9277923	2005-12-08	TIENDA COPPEL
-99.2161191	20.4856986	2006-05-01	TIENDA COPPEL
-86.8251719	21.1661723	2006-12-01	TIENDA COPPEL
-106.4454183	31.7365889	2005-12-01	TIENDA COPPEL
-98.3693108	20.0839529	2005-12-08	TIENDA COPPEL
-98.4374668	18.9056027	2005-12-01	TIENDA COPPEL
-109.9355906	22.9065081	2005-12-13	TIENDA COPPEL
-109.705739	23.0753317	2005-12-13	TIENDA COPPEL
-98.9870739	19.4029142	2005-12-15	TIENDA COPPEL
-98.9747069	22.7442346	2006-12-01	TIENDA COPPEL
-103.3946895	20.6243118	2005-10-06	TIENDA COPPEL
-115.3641077	32.5781148	2005-12-08	TIENDA COPPEL
-87.0817928	20.6302293	2006-07-01	TIENDA COPPEL
-106.458532	31.6760983	2006-04-01	TIENDA COPPEL
-92.652172	16.7338858	2005-10-13	TIENDA COPPEL
-104.8998785	21.2365496	2005-10-06	TIENDA COPPEL
-100.2399153	25.6989052	2005-11-24	TIENDA COPPEL
-96.1292501	18.0855413	2005-12-13	TIENDA COPPEL
-97.7260912	18.8813267	2005-12-01	TIENDA COPPEL
-93.3775511	17.9894614	2006-09-01	TIENDA COPPEL
-92.2596159	14.9154311	2006-06-01	TIENDA COPPEL
-99.0027246	19.3571465	2005-12-01	TIENDA COPPEL
-99.1698766	18.8975416	2005-12-15	TIENDA COPPEL
-103.3784741	20.5272292	2006-05-01	TIENDA COPPEL
-102.3328111	21.2433585	2006-04-01	TIENDA COPPEL
-89.5947193	21.0009773	2005-12-13	TIENDA COPPEL
-100.9717538	25.4171401	2005-12-01	TIENDA COPPEL
-103.4825224	20.5231224	2005-12-01	TIENDA COPPEL
-99.1373569	19.4009393	2006-12-01	TIENDA COPPEL
-98.7157926	20.0959446	2006-07-01	TIENDA COPPEL
-101.1995037	20.5749201	2006-12-01	TIENDA COPPEL
-102.210553	17.9696533	2006-09-01	TIENDA COPPEL
-102.3153292	21.8581036	2013-08-29	TIENDA COPPEL
-101.5520753	17.6467907	2006-07-01	TIENDA COPPEL
-100.3125286	25.6710178	2006-04-01	TIENDA COPPEL
-98.2270002	21.3545156	2006-06-01	TIENDA COPPEL
-93.1844806	16.7621697	2006-11-01	TIENDA COPPEL
-104.5601897	19.2402352	2006-09-01	TIENDA COPPEL
-100.4593525	20.6348922	2006-12-01	TIENDA COPPEL
-93.2112198	18.2847544	2007-09-13	TIENDA COPPEL
-104.3734038	21.0366937	2006-09-01	TIENDA COPPEL
-100.1554451	25.6384982	2006-12-01	TIENDA COPPEL
-99.0761578	19.3505068	2006-12-01	TIENDA COPPEL
-102.3460017	20.7054346	2006-11-01	TIENDA COPPEL
-93.3922943	17.8335876	2006-11-01	TIENDA COPPEL
-93.119365	16.754296	2006-12-01	TIENDA COPPEL
-93.1147188	16.7524492	2007-05-31	TIENDA COPPEL
-99.591607	18.9637823	2006-08-01	TIENDA COPPEL
-117.0459649	32.481479	2007-11-22	TIENDA COPPEL
-99.5524868	19.2868115	2006-10-01	TIENDA COPPEL
-101.7879482	19.8164846	2006-06-01	TIENDA COPPEL
-116.9346391	32.4926135	2006-12-01	TIENDA COPPEL
-106.8948717	23.9204401	2006-08-01	TIENDA COPPEL
-101.2057433	27.9468252	2006-07-01	TIENDA COPPEL
-103.2507472	25.5340336	2006-07-01	TIENDA COPPEL
-103.0004132	25.7549929	2006-07-01	TIENDA COPPEL
-99.5640219	24.8434595	2006-06-01	TIENDA COPPEL
-110.9392773	29.0368269	2006-12-01	TIENDA COPPEL
-98.2419461	18.9648859	2006-12-01	TIENDA COPPEL
-99.1377407	19.4344112	2006-12-01	TIENDA COPPEL
-100.9410551	29.3087287	2007-03-08	TIENDA COPPEL
-99.1360159	19.6429612	2006-12-01	TIENDA COPPEL
-101.3415672	20.6745198	2006-06-01	TIENDA COPPEL
-97.848513	22.283174	2006-08-01	TIENDA COPPEL
-95.4002291	17.9947261	2013-11-07	TIENDA COPPEL
-93.1648669	18.0693537	2006-09-01	TIENDA COPPEL
-99.0538976	19.3031508	2007-07-05	TIENDA COPPEL
-99.0335453	19.4020492	2006-08-01	TIENDA COPPEL
-98.9667311	19.4334404	2006-09-01	TIENDA COPPEL
-96.0480541	16.6344617	2013-11-07	TIENDA COPPEL
-105.6422061	26.9248167	2007-08-02	TIENDA COPPEL
77.3590017	28.5442788	2007-05-31	TIENDA COPPEL
-93.1011642	16.7511562	2007-10-04	TIENDA COPPEL
-96.7282394	17.0587663	2008-03-06	TIENDA COPPEL
-98.8969554	19.2630527	2008-02-07	TIENDA COPPEL
-117.0726286	32.5323072	2007-11-01	TIENDA COPPEL
-99.131757	19.4357068	2007-12-19	TIENDA COPPEL
-89.2799763	21.098173	2013-11-28	TIENDA COPPEL
-115.1102222	32.279466	2007-04-26	TIENDA COPPEL
-117.0335719	32.4450819	2007-11-22	TIENDA COPPEL
-100.2612834	25.7075025	2007-11-15	TIENDA COPPEL
-99.1159581	19.3566703	2007-12-13	TIENDA COPPEL
-101.6403553	21.0831399	2007-04-12	TIENDA COPPEL
-98.1263888	19.0603384	2007-08-30	TIENDA COPPEL
-108.6165053	26.4107628	2007-06-08	TIENDA COPPEL
-101.4254424	20.9454916	2007-11-29	TIENDA COPPEL
-95.2130284	18.4441222	2007-09-27	TIENDA COPPEL
-96.9152535	19.5396991	2007-12-13	TIENDA COPPEL
